,id,name,position,dateOfBirth,nationality,club
0,4832,David Raya,Goalkeeper,1995-09-15,Spain,Arsenal
1,5530,Aaron Ramsdale,Goalkeeper,1998-05-14,England,Arsenal
2,153843,Karl Jakob Hein,Goalkeeper,2002-04-13,Estonia,Arsenal
3,3244,Cédric,Defence,1991-08-31,Portugal,Arsenal
4,6154,Ben White,Defence,1997-10-08,England,Arsenal
5,7889,Oleksandr Zinchenko,Defence,1996-12-15,Ukraine,Arsenal
6,9034,Takehiro Tomiyasu,Defence,1998-11-05,Japan,Arsenal
7,23128,Gabriel,Defence,1997-12-19,Brazil,Arsenal
8,80171,William Saliba,Defence,2001-03-24,France,Arsenal
9,98816,Jurrien Timber,Defence,2001-06-17,Netherlands,Arsenal
10,147286,Jakub Kiwior,Defence,2000-02-15,Poland,Arsenal
11,204501,Reuell Walters,Defence,2004-12-16,England,Arsenal
12,247644,Ayden Heaven,Defence,2006-09-22,England,Arsenal
13,110,Thomas Partey,Midfield,1993-06-13,Ghana,Arsenal
14,171,Kai Havertz,Midfield,1999-06-11,Germany,Arsenal
15,2094,Jorginho,Midfield,1991-12-20,Italy,Arsenal
16,7427,Martin Ødegaard,Midfield,1998-12-17,Norway,Arsenal
17,8215,Declan Rice,Midfield,1999-01-14,England,Arsenal
18,8984,Leandro Trossard,Midfield,1994-12-04,Belgium,Arsenal
19,85570,Emile Smith Rowe,Midfield,2000-07-28,England,Arsenal
20,112948,Fabio Vieira,Midfield,2000-05-30,Portugal,Arsenal
21,179669,Mohamed Elneny,Midfield,1992-07-11,Egypt,Arsenal
22,204461,Mauro Bandeira,Midfield,2004-04-19,Portugal,Arsenal
23,204503,Amario Cozier-Duberry,Midfield,2005-05-29,England,Arsenal
24,221250,James Sweet,Midfield,2003-11-03,Wales,Arsenal
25,244120,Myles Lewis-Skelly,Midfield,2006-09-26,England,Arsenal
26,3236,Gabriel Jesus,Offence,1997-04-03,Brazil,Arsenal
27,7799,Reiss Nelson,Offence,1999-12-10,England,Arsenal
28,7800,Eddie Nketiah,Offence,1999-05-30,England,Arsenal
29,61450,Martinelli,Offence,2001-06-18,Brazil,Arsenal
30,99813,Bukayo Saka,Offence,2001-09-05,England,Arsenal
31,188476,Ethan Nwaneri,Offence,2007-03-21,England,Arsenal
0,3141,Emiliano Martínez,Goalkeeper,1992-09-02,Argentina,Aston Villa
1,15512,Robin Olsen,Goalkeeper,1990-01-08,Sweden,Aston Villa
2,81871,Joe Gauci,Goalkeeper,2000-07-04,Australia,Aston Villa
3,204460,James Wright,Goalkeeper,2004-12-02,England,Aston Villa
4,244962,Sam Proctor,Goalkeeper,2006-12-21,England,Aston Villa
5,63,Clément Lenglet,Defence,1995-06-17,France,Aston Villa
6,3359,Lucas Digne,Defence,1993-07-20,France,Aston Villa
7,4082,Kortney Hause,Defence,1995-07-16,England,Aston Villa
8,6317,Ezri Konsa,Defence,1998-04-06,England,Aston Villa
9,7787,Calum Chambers,Defence,1995-01-20,England,Aston Villa
10,8235,Tyrone Mings,Defence,1993-03-13,England,Aston Villa
11,8346,Boubacar Kamara,Defence,1999-11-23,France,Aston Villa
12,8698,Diego Carlos,Defence,1993-03-15,Brazil,Aston Villa
13,11644,Matty Cash,Defence,1997-08-07,Poland,Aston Villa
14,32123,Alex Moreno,Defence,1993-06-08,Spain,Aston Villa
15,33109,Pau Torres,Defence,1997-01-16,Spain,Aston Villa
16,171509,Kaine Kesler,Defence,2002-10-23,England,Aston Villa
17,246589,Finley Munroe,Defence,2005-02-08,England,Aston Villa
18,2013,Nicolò Zaniolo,Midfield,1999-07-02,Italy,Aston Villa
19,3658,Youri Tielemans,Midfield,1997-05-07,Belgium,Aston Villa
20,31941,Emiliano Buendía,Midfield,1996-12-25,Argentina,Aston Villa
21,33525,Douglas Luiz,Midfield,1998-05-09,Brazil,Aston Villa
22,34646,John McGinn,Midfield,1994-10-18,Scotland,Aston Villa
23,111437,Jacob Ramsey,Midfield,2001-05-28,England,Aston Villa
24,169326,Tim Iroegbunam,Midfield,2002-08-12,England,Aston Villa
25,157,Leon Bailey,Offence,1997-08-09,Jamaica,Aston Villa
26,2240,Moussa Diaby,Offence,1999-07-07,France,Aston Villa
27,4444,Ollie Watkins,Offence,1995-12-30,England,Aston Villa
28,82140,Morgan Rogers,Offence,2002-07-26,England,Aston Villa
29,104493,Jhon Durán,Offence,2003-12-13,Colombia,Aston Villa
30,214417,Omari Kellyman,Offence,2005-09-25,Northern Ireland,Aston Villa
0,3953,Marcus Bettinelli,Goalkeeper,1992-05-24,England,Chelsea
1,121765,Đorđe Petrović,Goalkeeper,1999-10-08,Serbia,Chelsea
2,135555,Robert Sánchez,Goalkeeper,1997-11-18,Spain,Chelsea
3,179663,Lucas Bergström,Goalkeeper,2002-09-05,Finland,Chelsea
4,246715,Max Merrick,Goalkeeper,2005-11-10,England,Chelsea
5,246743,Ted Curd,Goalkeeper,2006-02-14,England,Chelsea
6,813,Axel Disasi,Defence,1998-03-11,France,Chelsea
7,3224,Thiago Silva,Defence,1984-09-22,Brazil,Chelsea
8,7810,Trevoh Chalobah,Defence,1999-07-05,England,Chelsea
9,8065,Ben Chilwell,Defence,1996-12-21,England,Chelsea
10,8424,Malang Sarr,Defence,1999-01-23,France,Chelsea
11,8545,Wesley Fofana,Defence,2000-12-17,France,Chelsea
12,15863,Cucurella,Defence,1998-07-22,Spain,Chelsea
13,56628,Reece James,Defence,1999-12-08,England,Chelsea
14,152498,Malo Gusto,Defence,2003-05-19,France,Chelsea
15,170426,Benoît Badiashile,Defence,2001-03-26,France,Chelsea
16,170440,Levi Colwill,Defence,2003-02-26,England,Chelsea
17,179698,Dylan Williams,Defence,2003-09-13,England,Chelsea
18,189625,Ishe Samuels-Smith,Defence,2006-06-05,England,Chelsea
19,206825,Alfie Gilchrist,Defence,2003-11-28,England,Chelsea
20,221263,Joshua Brooking,Defence,2002-09-01,England,Chelsea
21,8484,Christopher Nkunku,Midfield,1997-11-14,France,Chelsea
22,98978,Mykhailo Mudryk,Midfield,2001-01-05,Ukraine,Chelsea
23,102603,Enzo Fernández,Midfield,2001-01-17,Argentina,Chelsea
24,119265,Conor Gallagher,Midfield,2000-02-06,England,Chelsea
25,121103,Moisés Caicedo,Midfield,2001-11-02,Ecuador,Chelsea
26,144892,Cole Palmer,Midfield,2002-05-06,England,Chelsea
27,153555,Chimuanya Ugochukwu,Midfield,2004-03-26,France,Chelsea
28,167570,Carney Chukwuemeka,Midfield,2003-10-20,England,Chelsea
29,167720,Noni Madueke,Midfield,2002-03-10,England,Chelsea
30,172738,Romeo Lavia,Midfield,2004-01-06,Belgium,Chelsea
31,179558,Cesare Casadei,Midfield,2003-01-10,Italy,Chelsea
32,203375,Deivid Washington,Midfield,2005-06-05,Brazil,Chelsea
33,228509,Leo Castledine,Midfield,2005-08-20,England,Chelsea
34,245340,Michael Golding,Midfield,2006-05-23,England,Chelsea
35,247243,Ollie Harrison,Midfield,2007-08-07,England,Chelsea
36,3329,Raheem Sterling,Offence,1994-12-08,England,Chelsea
37,152515,Nicolas Jackson,Offence,2001-06-20,Senegal,Chelsea
38,218431,Ronnie Stutter,Offence,2005-01-06,England,Chelsea
39,182192,Diego Moreira,Forward,2004-08-06,Portugal,Chelsea
0,3309,Jordan Pickford,Goalkeeper,1994-03-07,England,Everton
1,4133,Andy Lonergan,Goalkeeper,1983-10-19,England,Everton
2,82207,João Virgínia,Goalkeeper,1999-10-10,Portugal,Everton
3,3316,James Tarkowski,Defence,1992-11-19,England,Everton
4,3317,Ashley Young,Defence,1985-07-09,England,Everton
5,5487,Ben Godfrey,Defence,1998-01-15,England,Everton
6,7829,Michael Keane,Defence,1993-01-11,England,Everton
7,7836,Séamus Coleman,Defence,1988-10-11,Ireland,Everton
8,16165,Vitalii Mykolenko,Defence,1999-05-29,Ukraine,Everton
9,114120,Jarrad Branthwaite,Defence,2002-06-27,England,Everton
10,138174,Nathan Patterson,Defence,2001-10-16,Scotland,Everton
11,3251,André Gomes,Midfield,1993-07-30,Portugal,Everton
12,3324,Dele Alli,Midfield,1996-04-11,England,Everton
13,3627,Idrissa Gana Guèye,Midfield,1989-09-26,Senegal,Everton
14,4220,Jack Harrison,Midfield,1996-11-20,England,Everton
15,8119,Abdoulaye Doucouré,Midfield,1993-01-01,Mali,Everton
16,11623,Dwight McNeil,Midfield,1999-11-22,England,Everton
17,101076,James Garner,Midfield,2001-03-13,England,Everton
18,114024,Amadou Onana,Midfield,2001-08-16,Belgium,Everton
19,157660,Tyler Onyango,Midfield,2003-03-04,England,Everton
20,172958,Lewis Dobbin,Midfield,2003-01-03,England,Everton
21,220673,Mackenzie Hunt,Midfield,2001-11-14,England,Everton
22,244820,Jenson Metcalfe,Midfield,2004-09-06,England,Everton
23,7839,Dominic Calvert-Lewin,Offence,1997-03-16,England,Everton
24,9870,Arnaut Danjuma,Offence,1997-01-31,Netherlands,Everton
25,125044,Beto,Offence,1998-01-31,Portugal,Everton
26,188082,Youssef Chermiti,Offence,2004-05-24,Portugal,Everton
0,3174,Bernd Leno,Goalkeeper,1992-03-04,Germany,Fulham
1,6445,Marek Rodák,Goalkeeper,1996-12-13,Slovakia,Fulham
2,81055,Steven Benda,Goalkeeper,1998-10-01,Germany,Fulham
3,1836,Timothy Castagne,Defence,1995-12-05,Belgium,Fulham
4,3927,Antonee Robinson,Defence,1997-08-08,USA,Fulham
5,3956,Tim Ream,Defence,1987-10-05,USA,Fulham
6,7880,Tosin Adarabioyo,Defence,1997-09-24,England,Fulham
7,8296,Issa Diop,Defence,1997-01-09,France,Fulham
8,8403,Fodé Ballo-Touré,Defence,1997-01-03,Senegal,Fulham
9,8460,Kenny Tete,Defence,1995-10-09,Netherlands,Fulham
10,146154,Calvin Bassey,Defence,1999-12-31,Nigeria,Fulham
11,217596,Luc De Fougerolles,Defence,2005-10-12,Canada,Fulham
12,227998,Devan Tanton,Defence,2004-01-03,Colombia,Fulham
13,3230,Willian,Midfield,1988-08-09,Brazil,Fulham
14,3965,Tom Cairney,Midfield,1991-01-20,England,Fulham
15,3995,Harrison Reed,Midfield,1995-01-27,England,Fulham
16,4398,Bobby Reid,Midfield,1993-02-02,Jamaica,Fulham
17,11777,Harry Wilson,Midfield,1997-03-22,Wales,Fulham
18,15884,João Palhinha,Midfield,1995-07-09,Portugal,Fulham
19,32938,Saša Lukić,Midfield,1996-08-13,Serbia,Fulham
20,33153,Andreas Pereira,Midfield,1996-01-01,Brazil,Fulham
21,189889,Kristian Sekularac,Midfield,2003-12-07,Switzerland,Fulham
22,209084,Matthew Dibley-Dias,Midfield,2003-10-29,England,Fulham
23,246418,Joshua King,Midfield,2007-01-03,England,Fulham
24,3305,Raúl Jiménez,Offence,1991-05-05,Mexico,Fulham
25,3392,Alex Iwobi,Offence,1996-05-03,Nigeria,Fulham
26,4221,Adama Traoré,Offence,1996-01-25,Spain,Fulham
27,138036,Rodrigo Muniz,Offence,2001-05-04,Brazil,Fulham
28,143054,Armando Broja,Offence,2001-09-10,Albania,Fulham
0,1795,Alisson,Goalkeeper,1992-10-02,Brazil,Liverpool
1,8197,Adrián,Goalkeeper,1987-01-03,Spain,Liverpool
2,102046,Caoimhin Kelleher,Goalkeeper,1998-11-23,Ireland,Liverpool
3,221770,Fabian Mrozek,Goalkeeper,2003-09-28,Poland,Liverpool
4,3269,Wataru Endō,Defence,1993-02-09,Japan,Liverpool
5,7383,Kostas Tsimikas,Defence,1996-05-12,Greece,Liverpool
6,7862,Joe Gomez,Defence,1997-05-23,England,Liverpool
7,7865,Joël Matip,Defence,1991-08-08,Cameroon,Liverpool
8,7867,Trent Alexander-Arnold,Defence,1998-10-07,England,Liverpool
9,7868,Andrew Robertson,Defence,1994-03-11,Scotland,Liverpool
10,7869,Virgil van Dijk,Defence,1991-07-08,Netherlands,Liverpool
11,9542,Ibrahima Konaté,Defence,1999-05-25,France,Liverpool
12,175865,Conor Bradley,Defence,2003-07-09,Northern Ireland,Liverpool
13,176718,Jarell Quansah,Defence,2003-01-29,England,Liverpool
14,186701,Stefan Bajcetic,Defence,2004-10-22,Spain,Liverpool
15,226978,Calum Scanlon,Defence,2005-02-14,England,Liverpool
16,356,Thiago Alcântara,Midfield,1991-04-11,Spain,Liverpool
17,7873,Curtis Jones,Midfield,2001-01-30,England,Liverpool
18,16347,Dominik Szoboszlai,Midfield,2000-10-25,Hungary,Liverpool
19,45681,Alexis Mac Allister,Midfield,1998-12-24,Argentina,Liverpool
20,81793,Ryan Gravenberch,Midfield,2002-05-16,Netherlands,Liverpool
21,186708,Bobby Clark,Midfield,2005-02-07,England,Liverpool
22,214502,James McConnell,Midfield,2004-09-13,England,Liverpool
23,230517,Trey Nyoni,Midfield,2007-06-30,England,Liverpool
24,244935,Tom Hill,Midfield,2002-10-13,England,Liverpool
25,3754,Mohamed Salah,Offence,1992-06-15,Egypt,Liverpool
26,4092,Diogo Jota,Offence,1996-12-04,Portugal,Liverpool
27,7459,Cody Gakpo,Offence,1999-05-07,Netherlands,Liverpool
28,22396,Luis Díaz,Offence,1997-01-13,Colombia,Liverpool
29,28612,Darwin Núñez,Offence,1999-06-24,Uruguay,Liverpool
30,124824,Harvey Elliott,Offence,2003-04-04,England,Liverpool
31,157176,Kaide Gordon,Offence,2004-10-05,England,Liverpool
32,176789,Ben Doak,Offence,2005-11-11,Scotland,Liverpool
33,244989,Lewis Koumas,Offence,2005-09-19,Wales,Liverpool
34,247657,Jayden Danns,Offence,2006-01-16,England,Liverpool
0,3222,Ederson,Goalkeeper,1993-08-17,Brazil,Man City
1,4172,Scott Carson,Goalkeeper,1985-09-03,England,Man City
2,6958,Stefan Ortega Moreno,Goalkeeper,1992-11-06,Germany,Man City
3,244993,True Grant,Goalkeeper,2005-11-02,England,Man City
4,143,Manuel Akanji,Defence,1995-07-19,Switzerland,Man City
5,164,Sergio Gómez,Defence,2000-09-04,Spain,Man City
6,3311,Kyle Walker,Defence,1990-05-28,England,Man City
7,3313,John Stones,Defence,1994-05-28,England,Man City
8,8240,Nathan Aké,Defence,1995-02-18,Netherlands,Man City
9,10183,Rúben Dias,Defence,1997-05-14,Portugal,Man City
10,122266,Joško Gvardiol,Defence,2002-01-23,Croatia,Man City
11,244856,Max Alleyne,Defence,2005-07-21,England,Man City
12,65,Mateo Kovačić,Midfield,1994-05-06,Croatia,Man City
13,3199,Rodri,Midfield,1996-06-22,Spain,Man City
14,3254,Bernardo Silva,Midfield,1994-08-10,Portugal,Man City
15,3654,Kevin De Bruyne,Midfield,1991-06-28,Belgium,Man City
16,3895,Jack Grealish,Midfield,1995-09-10,England,Man City
17,7888,Phil Foden,Midfield,2000-05-28,England,Man City
18,91512,Matheus Nunes,Midfield,1998-08-27,Portugal,Man City
19,179716,Oscar Bobb,Midfield,2003-07-12,Norway,Man City
20,221259,Micah Hamilton,Midfield,2003-11-13,England,Man City
21,244846,Mahamadou Susoho,Midfield,2005-01-20,Spain,Man City
22,245445,Jacob Wright,Midfield,2005-09-21,England,Man City
23,38101,Erling Haaland,Offence,2000-07-21,Norway,Man City
24,98571,Julián Álvarez,Offence,2000-01-31,Argentina,Man City
25,99775,Jeremy Doku,Offence,2002-05-27,Belgium,Man City
26,187202,Rico Lewis,Defender,2004-11-21,England,Man City
0,7544,André Onana,Goalkeeper,1996-04-02,Cameroon,Man United
1,8035,Tom Heaton,Goalkeeper,1986-04-15,England,Man United
2,29518,Altay Bayındır,Goalkeeper,1998-04-14,Turkey,Man United
3,3326,Harry Maguire,Defence,1993-03-05,England,Man United
4,3360,Raphaël Varane,Defence,1993-04-25,France,Man United
5,3492,Victor Nilsson-Lindelöf,Defence,1994-07-17,Sweden,Man United
6,7467,Tyrell Malacia,Defence,1999-08-17,Netherlands,Man United
7,7898,Luke Shaw,Defence,1995-07-12,England,Man United
8,8014,Jonny Evans,Defence,1988-01-03,Northern Ireland,Man United
9,8158,Aaron Wan-Bissaka,Defence,1997-11-26,England,Man United
10,15905,Diogo Dalot,Defence,1999-03-18,Portugal,Man United
11,46451,Lisandro Martínez,Defence,1998-01-18,Argentina,Man United
12,244860,Willy Kambwala,Defence,2004-08-25,DR Congo,Man United
13,3231,Casemiro,Midfield,1992-02-23,Brazil,Man United
14,3257,Bruno Fernandes,Midfield,1994-09-08,Portugal,Man United
15,3459,Christian Eriksen,Midfield,1992-02-14,Denmark,Man United
16,3705,Sofyan Amrabat,Midfield,1996-08-21,Morocco,Man United
17,7599,Mason Mount,Midfield,1999-01-10,England,Man United
18,7905,Scott McTominay,Midfield,1996-12-08,Scotland,Man United
19,190797,Kobbie Mainoo,Midfield,2005-04-19,England,Man United
20,220574,Omari Forson,Midfield,2004-07-20,England,Man United
21,3331,Marcus Rashford,Offence,1997-10-31,England,Man United
22,3372,Anthony Martial,Offence,1995-12-05,France,Man United
23,97085,Antony,Offence,2000-02-24,Brazil,Man United
24,133584,Amad Diallo,Offence,2002-07-11,Ivory Coast,Man United
25,152770,Rasmus Højlund,Offence,2003-02-04,Denmark,Man United
26,160846,Shola Shoretire,Offence,2004-02-02,Nigeria,Man United
27,181901,Alejandro Garnacho,Forward,2004-07-01,Argentina,Man United
0,3310,Nick Pope,Goalkeeper,1992-04-19,England,Newcastle
1,5048,Mark Gillespie,Goalkeeper,1992-03-27,England,Newcastle
2,7856,Loris Karius,Goalkeeper,1993-06-22,Germany,Newcastle
3,7914,Martin Dúbravka,Goalkeeper,1989-01-15,Slovakia,Newcastle
4,220503,Aidan Harris,Goalkeeper,2006-12-16,England,Newcastle
5,244853,Adam Harrison,Goalkeeper,2006-10-20,England,Newcastle
6,88,Fabian Schär,Defence,1991-12-20,Switzerland,Newcastle
7,1868,Emil Krafth,Defence,1994-08-02,Sweden,Newcastle
8,3312,Kieran Trippier,Defence,1990-09-19,England,Newcastle
9,3962,Matt Targett,Defence,1995-09-18,England,Newcastle
10,4870,Dan Burn,Defence,1992-05-09,England,Newcastle
11,7917,Paul Dummett,Defence,1991-09-26,Wales,Newcastle
12,7919,Jamaal Lascelles,Defence,1993-11-11,England,Newcastle
13,7930,Matt Ritchie,Defence,1989-09-10,Scotland,Newcastle
14,81082,Sven Botman,Defence,2000-01-12,Netherlands,Newcastle
15,124683,Joe White,Defence,2002-10-01,England,Newcastle
16,168712,Valentino Livramento,Defence,2002-11-12,England,Newcastle
17,230364,Alex Murphy,Defence,2004-06-25,Ireland,Newcastle
18,1684,Bruno Guimarães,Midfield,1997-11-16,Brazil,Newcastle
19,2563,Sandro Tonali,Midfield,2000-05-08,Italy,Newcastle
20,4955,Sean Longstaff,Midfield,1997-10-30,England,Newcastle
21,6486,Alexander Isak,Midfield,1999-09-21,Sweden,Newcastle
22,7798,Joe Willock,Midfield,1999-08-20,England,Newcastle
23,7934,Jacob Murphy,Midfield,1995-02-24,England,Newcastle
24,8076,Harvey Barnes,Midfield,1997-12-09,England,Newcastle
25,76861,Miguel Almirón,Midfield,1994-02-10,Paraguay,Newcastle
26,107330,Elliot Anderson,Midfield,2002-11-06,Scotland,Newcastle
27,176852,Lewis Hall,Midfield,2004-09-08,England,Newcastle
28,177513,Lucas De Bolle,Midfield,2002-10-22,Scotland,Newcastle
29,204719,Travis Hernes,Midfield,2005-11-04,England,Newcastle
30,243652,James Huntley,Midfield,2004-03-02,England,Newcastle
31,7848,Anthony Gordon,Offence,2001-02-24,England,Newcastle
32,8251,Callum Wilson,Offence,1992-02-27,England,Newcastle
33,10653,Joelinton,Offence,1996-08-14,Brazil,Newcastle
34,191939,Lewis Miley,Offence,2006-05-01,England,Newcastle
35,228507,Ben Parkinson,Offence,2005-03-10,England,Newcastle
36,228508,Amadou Diallo,Offence,2003-02-15,England,Newcastle
0,3086,Guglielmo Vicario,Goalkeeper,1996-10-07,Italy,Tottenham
1,7992,Alfie Whiteman,Goalkeeper,1998-10-02,England,Tottenham
2,8079,Fraser Forster,Goalkeeper,1988-03-17,England,Tottenham
3,133229,Brandon Austin,Goalkeeper,1999-01-08,England,Tottenham
4,1131,Emerson Royal,Defence,1999-01-14,Brazil,Tottenham
5,7994,Ben Davies,Defence,1993-04-24,Wales,Tottenham
6,45735,Christian Romero,Defence,1998-04-27,Argentina,Tottenham
7,81037,Pedro Porro,Defence,1999-09-13,Spain,Tottenham
8,131177,Mickey van de Ven,Defence,2001-04-19,Netherlands,Tottenham
9,140432,Radu Drăgușin,Defence,2002-02-03,Romania,Tottenham
10,170378,Destiny Udogie,Defence,2002-11-28,Italy,Tottenham
11,230351,Alfie Dorrington,Defence,2005-04-20,England,Tottenham
12,2041,Rodrigo Bentancur,Midfield,1997-06-25,Uruguay,Tottenham
13,3216,Giovani Lo Celso,Midfield,1996-04-09,Argentina,Tottenham
14,3959,Ryan Sessegnon,Midfield,2000-05-18,England,Tottenham
15,3992,James Maddison,Midfield,1996-11-23,England,Tottenham
16,8093,Pierre Emile Højbjerg,Midfield,1995-08-05,Denmark,Tottenham
17,8410,Yves Bissouma,Midfield,1996-08-30,Mali,Tottenham
18,96974,Oliver Skipp,Midfield,2000-09-16,England,Tottenham
19,124694,Brennan Johnson,Midfield,2001-05-23,Wales,Tottenham
20,170281,Heung-min Son,Midfield,1992-07-08,South Korea,Tottenham
21,170391,Pape Sarr,Midfield,2002-09-14,Senegal,Tottenham
22,206810,Yago Santiago,Midfield,2003-04-15,Spain,Tottenham
23,1859,Dejan Kulusevski,Offence,2000-04-25,Sweden,Tottenham
24,3187,Timo Werner,Offence,1996-03-06,Germany,Tottenham
25,8133,Richarlison,Offence,1997-05-10,Brazil,Tottenham
26,40541,Manor Solomon,Offence,1999-07-24,Israel,Tottenham
27,101912,Bryan Gil,Offence,2001-02-11,Spain,Tottenham
28,156616,Dane Scarlett,Offence,2004-03-24,England,Tottenham
29,221328,Jamie Donley,Offence,2005-01-03,Northern Ireland,Tottenham
0,4418,Daniel Bentley,Goalkeeper,1993-07-13,England,Wolverhampton
1,6180,Thomas King,Goalkeeper,1995-03-09,Wales,Wolverhampton
2,15899,José Sá,Goalkeeper,1993-01-17,Portugal,Wolverhampton
3,4081,Matt Doherty,Defence,1992-01-16,Ireland,Wolverhampton
4,8012,Craig Dawson,Defence,1990-05-06,England,Wolverhampton
5,8642,Rayan Aït Nouri,Defence,2001-06-06,France,Wolverhampton
6,15862,Nélson Semedo,Defence,1993-11-16,Portugal,Wolverhampton
7,25376,Max Kilman,Defence,1997-05-23,England,Wolverhampton
8,32767,Santiago Bueno,Defence,1998-11-09,Uruguay,Wolverhampton
9,102223,Toti Gomes,Defence,1999-01-16,Portugal,Wolverhampton
10,157709,Hugo Bueno,Defence,2002-09-18,Spain,Wolverhampton
11,189479,Harvey Griffiths,Defence,2003-09-22,England,Wolverhampton
12,244625,Matthew Whittingham,Defence,2004-10-24,England,Wolverhampton
13,244801,Justin Hubner,Defence,2003-09-14,Indonesia,Wolverhampton
14,245356,Aaron Keto-Diyawa,Defence,2003-09-11,England,Wolverhampton
15,788,Jean-Ricner Bellegarde,Midfield,1998-06-27,France,Wolverhampton
16,8097,Mario Lemina,Midfield,1993-09-01,Gabon,Wolverhampton
17,133553,Boubacar Traoré,Midfield,2001-08-20,Mali,Wolverhampton
18,135345,Tawanda Chirewa,Midfield,2003-10-11,England,Wolverhampton
19,138034,João Gomes,Midfield,2001-02-12,Brazil,Wolverhampton
20,172581,Tommy Doyle,Midfield,2001-10-17,England,Wolverhampton
21,193014,Enso Gonzalez,Midfield,2005-01-20,Paraguay,Wolverhampton
22,245046,Ty Barnett,Midfield,2005-07-19,England,Wolverhampton
23,74,Pablo Sarabia,Offence,1992-05-11,Spain,Wolverhampton
24,2074,Pedro Neto,Offence,2000-03-09,Portugal,Wolverhampton
25,3354,Hwang Heechan,Offence,1996-01-26,South Korea,Wolverhampton
26,30842,Matheus Cunha,Offence,1999-05-27,Brazil,Wolverhampton
27,189575,Nathan Fraser,Offence,2005-02-22,England,Wolverhampton
28,217617,Noha Lemina,Offence,2005-06-17,France,Wolverhampton
0,37144,Lawrence Vigouroux,Goalkeeper,1993-11-19,Chile,Burnley
1,81179,Arijanet Muric,Goalkeeper,1998-11-07,Kosovo,Burnley
2,153874,James Trafford,Goalkeeper,2002-10-10,England,Burnley
3,1239,Vitinho,Defence,1999-07-23,Brazil,Burnley
4,6678,Louis Beyer,Defence,2000-05-19,Germany,Burnley
5,8043,Charlie Taylor,Defence,1993-09-18,England,Burnley
6,8845,Hannes Delcroix,Defence,1999-02-28,Belgium,Burnley
7,25650,Dara O'Shea,Defence,1999-03-04,Ireland,Burnley
8,31560,Hjalmar Ekdal,Defence,1998-10-21,Sweden,Burnley
9,135485,Lorenz Assignon,Defence,2000-06-22,France,Burnley
10,170857,Ameen Al Dakhil,Defence,2002-03-06,Belgium,Burnley
11,175784,Maxime Estève,Defence,2002-05-26,France,Burnley
12,3839,Jóhann Berg Guðmundsson,Midfield,1990-10-27,Iceland,Burnley
13,4401,Josh Brownhill,Midfield,1995-12-19,England,Burnley
14,8051,Jack Cork,Midfield,1989-06-25,England,Burnley
15,8092,Nathan Redmond,Midfield,1994-03-06,England,Burnley
16,8217,Josh Cullen,Midfield,1996-04-07,Ireland,Burnley
17,8973,Sander Berge,Midfield,1998-02-14,Norway,Burnley
18,8976,Benson Manuel,Midfield,1997-03-28,Belgium,Burnley
19,9405,Jacob Bruun Larsen,Midfield,1998-09-19,Denmark,Burnley
20,98953,Han-Noah Massengo,Midfield,2001-07-07,France,Burnley
21,122313,Zeki Amdouni,Midfield,2000-12-04,Switzerland,Burnley
22,172555,Aaron Ramsey,Midfield,2003-01-21,England,Burnley
23,184999,Wilson Odobert,Midfield,2004-11-28,France,Burnley
24,192680,Enock Agyei,Midfield,2005-01-13,Belgium,Burnley
25,207566,Mike Trésor,Midfield,1999-05-28,Belgium,Burnley
26,8032,Jay Rodriguez,Offence,1989-07-29,England,Burnley
27,34760,Lyle Foster,Offence,2000-09-04,South Africa,Burnley
28,160849,David Fofana,Offence,2002-12-22,Ivory Coast,Burnley
29,182267,Luca Koleosho,Midfielder,2004-09-15,USA,Burnley
0,3643,Matz Sels,Goalkeeper,1992-02-26,Belgium,Nottingham
1,8137,Wayne Hennessey,Goalkeeper,1987-01-24,Wales,Nottingham
2,42871,Odisseas Vlachodimos,Goalkeeper,1994-04-26,Greece,Nottingham
3,76936,Matt Turner,Goalkeeper,1994-06-24,USA,Nottingham
4,3386,Ola Aina,Defence,1996-10-08,Nigeria,Nottingham
5,4086,Willy Boly,Defence,1991-02-03,Ivory Coast,Nottingham
6,4376,Harry Toffolo,Defence,1995-08-19,England,Nottingham
7,5435,Ryan Yates,Defence,1997-11-21,England,Nottingham
8,8723,Moussa Niakhaté,Defence,1996-03-08,France,Nottingham
9,11667,Gonzalo Montiel,Defence,1997-01-01,Argentina,Nottingham
10,77691,Richie Laryea,Defence,1995-01-07,Canada,Nottingham
11,80459,Nuno Tavares,Defence,2000-01-26,Portugal,Nottingham
12,133765,Neco Williams,Defence,2001-04-13,Wales,Nottingham
13,149920,Andrew Omobamidele,Defence,2002-06-23,Ireland,Nottingham
14,192637,Murillo,Defence,2002-07-04,Brazil,Nottingham
15,204483,Zach Abbott,Defence,2006-05-13,England,Nottingham
16,3618,Cheikhou Kouyaté,Midfield,1989-12-21,Senegal,Nottingham
17,4091,Morgan Gibbs-White,Midfield,2000-01-27,England,Nottingham
18,8244,Harry Arter,Midfield,1989-12-28,Ireland,Nottingham
19,8307,Ibrahim Sangaré,Midfield,1997-12-02,Ivory Coast,Nottingham
20,46346,Nicolás Domínguez,Midfield,1998-06-28,Argentina,Nottingham
21,149704,Danilo dos Santos de Oliveira,Midfield,2001-04-29,Brazil,Nottingham
22,166376,Anthony Elanga,Midfield,2002-04-27,Sweden,Nottingham
